Name,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
AUMK,29.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
AUMK,28.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
AUMK,25.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
AUMK,24.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
AUMK,22.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
AUMK,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200,343.200
AUMK,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
AUMK,17.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
AUMK,16.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
AUMK,15.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
AUMK,14.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
AUMK,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
AUMK,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.000,28.000
BANA,08.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BANA,07.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BANA,06.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BANA,05.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BANA,04.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BANA,01.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BANA,31.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BANA,30.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BANA,29.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BANA,28.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BANA,25.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BANA,24.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BANA,22.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BANA,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200,343.200
BANA,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
BANA,17.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BANA,16.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BANA,15.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BANA,14.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BANA,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
BANA,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.000,28.000
BGOR,08.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BGOR,07.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BGOR,06.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BGOR,05.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BGOR,04.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BGOR,01.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BGOR,31.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BGOR,30.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BGOR,29.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BGOR,28.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BGOR,25.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BGOR,24.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BGOR,22.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BGOR,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200,343.200
BGOR,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
BGOR,17.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BGOR,16.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BGOR,15.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BGOR,14.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BGOR,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
BGOR,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.000,28.000
BIKF,08.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIKF,07.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIKF,06.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIKF,05.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIKF,04.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIKF,01.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIKF,31.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIKF,30.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIKF,29.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIKF,28.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIKF,25.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIKF,24.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIKF,22.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIKF,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200,343.200
BIKF,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
BIKF,17.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BIKF,16.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BIKF,15.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BIKF,14.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
BIKF,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
BIKF,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.000,28.000
BIM,08.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIM,07.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIM,06.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
BIM,05.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
