Name,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
MAGP,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
MAGP,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
MAGP,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
MAGP,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
MAKP,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
MAKP,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
MAKP,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
MAKP,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
MAKS,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
MAKS,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
MAKS,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
MAKS,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
MB,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
MB,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
MB,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
MB,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
MERM,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
MERM,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
MERM,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
MERM,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
MKSD,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
MKSD,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
MKSD,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
MKSD,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
MLKR,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
MLKR,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
MLKR,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
MLKR,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
MODA,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
MODA,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
MODA,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
MODA,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
MPOL,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
